contrast,estimate,SE,df,t.ratio,p.value
CEACOR - CERBET,-0.4043,0.0436,1437,-9.2692,0
CEACOR - ERIFAS,-0.237,0.0457,1437,-5.1838,1e-4
CEACOR - HETARB,-0.1508,0.034,1437,-4.4308,0.0026
CEACOR - MALLAU,-0.0752,0.0788,1437,-0.9546,1
CEACOR - PINJEF,0.1219,0.0293,1437,4.1582,0.0082
CEACOR - PSEMEN,0.096,0.0911,1437,1.0535,1
CEACOR - QUEAGR,-0.4817,0.0269,1437,-17.8757,0
CEACOR - QUEBER,-0.3855,0.0475,1437,-8.1124,0
CEACOR - QUEDOU,-0.2134,0.0256,1437,-8.3471,0
CEACOR - QUEDUR,-0.3658,0.0688,1437,-5.3161,0
CEACOR - QUEGAR,-0.1292,0.0678,1437,-1.9058,0.9731
CEACOR - QUEKEL,0.0039,0.0352,1437,0.1116,1
CEACOR - SALLEU,0.1037,0.0413,1437,2.5126,0.6863
CEACOR - SALMEL,0.1253,0.0429,1437,2.9185,0.3674
CEACOR - UMBCAL,0.005,0.0797,1437,0.0622,1
CEACUN - CEAPAR,-0.109,0.1268,1437,-0.8599,1
CEACUN - CEASPI,-0.1975,0.1101,1437,-1.7939,0.9871
CEACUN - CERBET,-0.468,0.1103,1437,-4.2447,0.0057
CEACUN - ERIFAS,-0.3006,0.1111,1437,-2.7061,0.5321
CEACUN - HETARB,-0.2145,0.1068,1437,-2.0078,0.952
CEACUN - MALLAU,-0.1389,0.1283,1437,-1.0826,1
CEACUN - PINJEF,0.0582,0.1054,1437,0.5521,1
CEACUN - PSEMEN,0.0323,0.1362,1437,0.237,1
CEACUN - QUEAGR,-0.5454,0.1048,1437,-5.2051,1e-4
CEACUN - QUEBER,-0.4491,0.1119,1437,-4.0155,0.0143
CEACUN - QUEDOU,-0.2771,0.1044,1437,-2.6531,0.575
CEACUN - QUEDUR,-0.4295,0.1224,1437,-3.5081,0.0825
CEACUN - QUEGAR,-0.1928,0.1218,1437,-1.5827,0.9977
CEACUN - QUEKEL,-0.0598,0.1072,1437,-0.5574,1
CEACUN - SALLEU,0.04,0.1093,1437,0.3659,1
CEACUN - SALMEL,0.0616,0.11,1437,0.5602,1
