"Model","AIC","Delta_AIC","In_Sample_R2","Cross_Val_R2"
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + mwp x p50 +      mwp x psimin + mwp x sla",-154.3,7.1,0.756,0.553
"F.Type + lfmmax + mwp + tlp +      F.Type x mwp + lfmmax x mwp + mwp x tlp",-154.3,7.2,0.756,0.514
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x psimin + mwp x sla",-154.3,7.2,0.758,0.516
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x sla + mwp x tlp",-154.3,7.2,0.758,0.502
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x p50 + mwp x sla",-154.3,7.2,0.757,0.488
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      mwp x psimin + mwp x sla + mwp x tlp",-154.3,7.2,0.758,0.511
"F.Type + lfmmax + mwp + p50 + psimin + sla +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x sla",-154.2,7.3,0.758,0.482
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x psimin + mwp x sla",-154.2,7.3,0.758,0.509
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x sla + mwp x tlp",-154.2,7.3,0.758,0.503
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + mwp x sla",-154.2,7.3,0.755,0.571
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x tlp",-154.2,7.3,0.757,0.549
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x tlp",-154.1,7.3,0.757,0.532
"F.Type + lfmmax + mwp + p50 + sla +      F.Type x mwp + lfmmax x mwp",-154.1,7.4,0.756,0.475
"F.Type + lfmmax + mwp + p50 + tlp +      F.Type x mwp + lfmmax x mwp + mwp x p50",-154.1,7.4,0.756,0.498
"F.Type + lfmmax + mwp + psimin + tlp + (1 |      species) + F.Type x mwp + lfmmax x mwp + mwp x tlp",-154.1,7.4,0.756,0.536
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + mwp x sla",-154.1,7.4,0.755,0.554
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x tlp",-154,7.5,0.756,0.507
"F.Type + ldmc + lfmmax + mwp + sla + tlp +      (1 | species) + F.Type x mwp + ldmc x mwp + mwp x sla",-153.9,7.6,0.756,0.535
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + mwp x p50 +      mwp x sla + mwp x tlp",-153.9,7.6,0.757,0.506
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + F.Type x mwp + lfmmax x mwp +      mwp x sla",-153.9,7.6,0.758,0.462
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + mwp x p50 + mwp x sla",-153.9,7.6,0.755,0.556
