"","Species","date","mwp","lfm","study","Sp.Site"
"128","ARBMEN","22-Jun",-1.8,2.050669216,"Pepperwood","ARBMEN_Pepperwood"
"129","PSEMEN","22-Jun",-2.05,1.123275069,"Pepperwood","PSEMEN_Pepperwood"
"130","PSEMEN","22-Jun",-1.83,1.170391061,"Pepperwood","PSEMEN_Pepperwood"
"131","QUEGAR","22-Jun",-2.63,1.067497404,"Pepperwood","QUEGAR_Pepperwood"
"132","QUEGAR","22-Jun",-2.9,1.121590909,"Pepperwood","QUEGAR_Pepperwood"
"133","PSEMEN","22-Jun",-1.93,1.245517241,"Pepperwood","PSEMEN_Pepperwood"
"134","PSEMEN","22-Jun",-1.83,1.154711674,"Pepperwood","PSEMEN_Pepperwood"
"135","UMBCAL","22-Jun",-1,1.269083969,"Pepperwood","UMBCAL_Pepperwood"
"136","ARBMEN","22-Jun",-1.12,1.489925769,"Pepperwood","ARBMEN_Pepperwood"
"137","ARBMEN","22-Jun",-1.75,1.551724138,"Pepperwood","ARBMEN_Pepperwood"
"138","QUEDUR","22-Jun",-0.77,1.379844961,"Pepperwood","QUEDUR_Pepperwood"
"139","QUEDUR","22-Jun",-0.42,1.13028169,"Pepperwood","QUEDUR_Pepperwood"
"140","HETARB","22-Jun",-1.11,1.231923602,"Pepperwood","HETARB_Pepperwood"
"141","QUEDUR","22-Jun",-0.45,1.058282209,"Pepperwood","QUEDUR_Pepperwood"
"142","QUEDUR","22-Jun",-0.73,0.993569132,"Pepperwood","QUEDUR_Pepperwood"
"143","HETARB","22-Jun",-1.25,1.624203822,"Pepperwood","HETARB_Pepperwood"
"144","ADEFAS","22-Jun",-0.79,0.922178988,"Pepperwood","ADEFAS_Pepperwood"
"145","QUEDUR","22-Jun",-0.63,1.11722488,"Pepperwood","QUEDUR_Pepperwood"
"146","ADEFAS","22-Jun",-1.03,1.025316456,"Pepperwood","ADEFAS_Pepperwood"
"148","ADEFAS","8/17/15",-4.27,0.6342,"StuntRanch","ADEFAS_StuntRanch"
"149","ADEFAS","8/17/15",-4.27,0.6287,"StuntRanch","ADEFAS_StuntRanch"
"150","ADEFAS","8/17/15",-5.38,0.7352,"StuntRanch","ADEFAS_StuntRanch"
"151","ADEFAS","8/17/15",-5.38,0.5021,"StuntRanch","ADEFAS_StuntRanch"
"152","ADEFAS","8/17/15",-5.52,0.6214,"StuntRanch","ADEFAS_StuntRanch"
"153","CERBET","8/17/15",-4.96,0.6082,"StuntRanch","CERBET_StuntRanch"
"154","CERBET","8/17/15",-5.1,0.6351,"StuntRanch","CERBET_StuntRanch"
"155","CEASPI","8/17/15",-4.83,0.7602,"StuntRanch","CEASPI_StuntRanch"
"156","CEASPI","8/17/15",-4.9,0.7729,"StuntRanch","CEASPI_StuntRanch"
"157","CEASPI","8/17/15",-4.96,0.8172,"StuntRanch","CEASPI_StuntRanch"
"158","HETARB","8/17/15",-3.31,0.8876,"StuntRanch","HETARB_StuntRanch"
"159","HETARB","8/17/15",-3.45,0.872,"StuntRanch","HETARB_StuntRanch"
"160","HETARB","8/17/15",-3.86,0.8975,"StuntRanch","HETARB_StuntRanch"
"161","HETARB","8/17/15",-3.86,0.9041,"StuntRanch","HETARB_StuntRanch"
"162","MALLAU","8/17/15",-1.79,1.196,"StuntRanch","MALLAU_StuntRanch"
"163","MALLAU","8/17/15",-1.86,1.1863,"StuntRanch","MALLAU_StuntRanch"
"164","MALLAU","8/17/15",-1.93,1.2293,"StuntRanch","MALLAU_StuntRanch"
"165","QUEAGR","8/17/15",-2.62,0.7451,"StuntRanch","QUEAGR_StuntRanch"
"166","QUEAGR","8/17/15",-2.76,0.7557,"StuntRanch","QUEAGR_StuntRanch"
"167","QUEAGR","8/17/15",-2.93,0.7547,"StuntRanch","QUEAGR_StuntRanch"
"168","QUEBER","8/17/15",-3.86,0.6724,"StuntRanch","QUEBER_StuntRanch"
"169","QUEBER","8/17/15",-4,0.6312,"StuntRanch","QUEBER_StuntRanch"
"170","QUEBER","8/17/15",-4.27,0.6806,"StuntRanch","QUEBER_StuntRanch"
"171","QUEBER","8/17/15",-4.27,0.6582,"StuntRanch","QUEBER_StuntRanch"
"172","ADEFAS","9/16/15",-3.45,0.5811,"StuntRanch","ADEFAS_StuntRanch"
"173","ADEFAS","9/16/15",-4.34,0.554,"StuntRanch","ADEFAS_StuntRanch"
"174","ADEFAS","9/16/15",-4.48,0.5453,"StuntRanch","ADEFAS_StuntRanch"
"175","ADEFAS","9/16/15",-4.83,0.5725,"StuntRanch","ADEFAS_StuntRanch"
"176","CERBET","9/16/15",-1.72,0.6515,"StuntRanch","CERBET_StuntRanch"
"177","CERBET","9/16/15",-2.07,0.6647,"StuntRanch","CERBET_StuntRanch"
"178","CERBET","9/16/15",-2.76,0.5733,"StuntRanch","CERBET_StuntRanch"
"179","CERBET","9/16/15",-3.03,0.6379,"StuntRanch","CERBET_StuntRanch"
"180","CERBET","9/16/15",-3.31,0.5744,"StuntRanch","CERBET_StuntRanch"
"181","CEASPI","9/16/15",-2.28,0.6753,"StuntRanch","CEASPI_StuntRanch"
"182","CEASPI","9/16/15",-2.69,0.7294,"StuntRanch","CEASPI_StuntRanch"
"183","CEASPI","9/16/15",-2.76,0.7326,"StuntRanch","CEASPI_StuntRanch"
"184","CEASPI","9/16/15",-3,0.712,"StuntRanch","CEASPI_StuntRanch"
"185","CEASPI","9/16/15",-5.1,0.6973,"StuntRanch","CEASPI_StuntRanch"
"186","ERIFAS","9/16/15",-2.21,0.6202,"StuntRanch","ERIFAS_StuntRanch"
"187","ERIFAS","9/16/15",-2.9,0.606,"StuntRanch","ERIFAS_StuntRanch"
"188","ERIFAS","9/16/15",-2.96,0.6541,"StuntRanch","ERIFAS_StuntRanch"
"189","ERIFAS","9/16/15",-3.31,0.6045,"StuntRanch","ERIFAS_StuntRanch"
"190","ERIFAS","9/16/15",-3.31,0.6415,"StuntRanch","ERIFAS_StuntRanch"
"191","HETARB","9/16/15",-2.76,0.7372,"StuntRanch","HETARB_StuntRanch"
"192","HETARB","9/16/15",-2.9,0.8057,"StuntRanch","HETARB_StuntRanch"
"193","HETARB","9/16/15",-2.9,0.7602,"StuntRanch","HETARB_StuntRanch"
"194","HETARB","9/16/15",-2.96,0.767,"StuntRanch","HETARB_StuntRanch"
"195","HETARB","9/16/15",-3.72,0.7367,"StuntRanch","HETARB_StuntRanch"
"196","QUEAGR","9/16/15",-2.52,0.6976,"StuntRanch","QUEAGR_StuntRanch"
"197","QUEAGR","9/16/15",-2.83,0.6505,"StuntRanch","QUEAGR_StuntRanch"
"198","QUEAGR","9/16/15",-2.83,0.7421,"StuntRanch","QUEAGR_StuntRanch"
"199","QUEAGR","9/16/15",-3.1,0.7354,"StuntRanch","QUEAGR_StuntRanch"
"200","QUEAGR","9/16/15",-4.83,0.705,"StuntRanch","QUEAGR_StuntRanch"
"201","QUEBER","9/16/15",-3.31,0.6531,"StuntRanch","QUEBER_StuntRanch"
"202","QUEBER","9/16/15",-3.52,0.5891,"StuntRanch","QUEBER_StuntRanch"
"203","QUEBER","9/16/15",-3.55,0.6333,"StuntRanch","QUEBER_StuntRanch"
"204","QUEBER","9/16/15",-3.59,0.5814,"StuntRanch","QUEBER_StuntRanch"
"205","QUEBER","9/16/15",-3.93,0.6171,"StuntRanch","QUEBER_StuntRanch"
"206","SALLEU","9/16/15",-2.34,0.8092,"StuntRanch","SALLEU_StuntRanch"
"207","SALLEU","9/16/15",-2.55,1.0264,"StuntRanch","SALLEU_StuntRanch"
"208","SALLEU","9/16/15",-2.65,0.915,"StuntRanch","SALLEU_StuntRanch"
"209","SALLEU","9/16/15",-2.72,0.9395,"StuntRanch","SALLEU_StuntRanch"
"210","SALMEL","9/16/15",-1.86,1.2233,"StuntRanch","SALMEL_StuntRanch"
"211","SALMEL","9/16/15",-1.86,1.0711,"StuntRanch","SALMEL_StuntRanch"
"212","SALMEL","9/16/15",-2.07,1.0404,"StuntRanch","SALMEL_StuntRanch"
"213","SALMEL","9/16/15",-2.21,1.2185,"StuntRanch","SALMEL_StuntRanch"
"214","SALMEL","9/16/15",-2.28,1.1309,"StuntRanch","SALMEL_StuntRanch"
"215","ADEFAS","10/7/15",-5.93,0.5985,"StuntRanch","ADEFAS_StuntRanch"
"216","ADEFAS","10/7/15",-6.07,0.5781,"StuntRanch","ADEFAS_StuntRanch"
"217","ADEFAS","10/7/15",-6.41,0.5253,"StuntRanch","ADEFAS_StuntRanch"
"218","ADEFAS","10/7/15",-6.62,0.5671,"StuntRanch","ADEFAS_StuntRanch"
"219","ADEFAS","10/7/15",-6.83,0.5345,"StuntRanch","ADEFAS_StuntRanch"
"220","ARCGLA","10/7/15",-3.59,0.7664,"StuntRanch","ARCGLA_StuntRanch"
"221","ARCGLA","10/7/15",-3.79,0.7578,"StuntRanch","ARCGLA_StuntRanch"
"222","ARCGLA","10/7/15",-4.14,0.7063,"StuntRanch","ARCGLA_StuntRanch"
"223","ARCGLA","10/7/15",-5.24,0.664,"StuntRanch","ARCGLA_StuntRanch"
"224","ARCGLA","10/7/15",-5.65,0.6275,"StuntRanch","ARCGLA_StuntRanch"
"225","CERBET","10/7/15",-4,0.6134,"StuntRanch","CERBET_StuntRanch"
"226","CERBET","10/7/15",-4.76,0.5542,"StuntRanch","CERBET_StuntRanch"
"227","CERBET","10/7/15",-5.17,0.5107,"StuntRanch","CERBET_StuntRanch"
"228","CERBET","10/7/15",-5.52,0.5121,"StuntRanch","CERBET_StuntRanch"
"229","CEASPI","10/7/15",-3.65,0.6511,"StuntRanch","CEASPI_StuntRanch"
"230","CEASPI","10/7/15",-3.86,0.7375,"StuntRanch","CEASPI_StuntRanch"
"231","CEASPI","10/7/15",-4.69,0.7053,"StuntRanch","CEASPI_StuntRanch"
"232","CEASPI","10/7/15",-4.83,0.6278,"StuntRanch","CEASPI_StuntRanch"
"233","CEASPI","10/7/15",-4.9,0.6198,"StuntRanch","CEASPI_StuntRanch"
"234","ERIFAS","10/7/15",-3.45,0.6961,"StuntRanch","ERIFAS_StuntRanch"
"235","ERIFAS","10/7/15",-4.14,0.538,"StuntRanch","ERIFAS_StuntRanch"
"236","ERIFAS","10/7/15",-4.83,0.5478,"StuntRanch","ERIFAS_StuntRanch"
"237","ERIFAS","10/7/15",-4.83,0.6192,"StuntRanch","ERIFAS_StuntRanch"
"238","ERIFAS","10/7/15",-5.52,0.4674,"StuntRanch","ERIFAS_StuntRanch"
"239","HETARB","10/7/15",-3.59,0.781,"StuntRanch","HETARB_StuntRanch"
"240","HETARB","10/7/15",-3.59,0.7796,"StuntRanch","HETARB_StuntRanch"
"241","HETARB","10/7/15",-3.86,0.7492,"StuntRanch","HETARB_StuntRanch"
"242","HETARB","10/7/15",-4.55,0.7872,"StuntRanch","HETARB_StuntRanch"
"243","HETARB","10/7/15",-4.55,0.6819,"StuntRanch","HETARB_StuntRanch"
"244","MALLAU","10/7/15",-1.93,1.0724,"StuntRanch","MALLAU_StuntRanch"
"245","MALLAU","10/7/15",-2.14,1.0361,"StuntRanch","MALLAU_StuntRanch"
"246","MALLAU","10/7/15",-2.24,1.7897,"StuntRanch","MALLAU_StuntRanch"
"247","MALLAU","10/7/15",-2.62,0.962,"StuntRanch","MALLAU_StuntRanch"
"248","MALLAU","10/7/15",-3.03,0.9398,"StuntRanch","MALLAU_StuntRanch"
"249","QUEAGR","10/7/15",-3.24,0.7085,"StuntRanch","QUEAGR_StuntRanch"
"250","QUEAGR","10/7/15",-3.72,0.6894,"StuntRanch","QUEAGR_StuntRanch"
"251","QUEAGR","10/7/15",-3.79,0.6677,"StuntRanch","QUEAGR_StuntRanch"
"252","QUEAGR","10/7/15",-4,0.6876,"StuntRanch","QUEAGR_StuntRanch"
"253","QUEAGR","10/7/15",-4.14,0.6951,"StuntRanch","QUEAGR_StuntRanch"
"254","QUEBER","10/7/15",-4.83,0.6305,"StuntRanch","QUEBER_StuntRanch"
"255","QUEBER","10/7/15",-4.86,0.6206,"StuntRanch","QUEBER_StuntRanch"
"256","QUEBER","10/7/15",-4.96,0.4768,"StuntRanch","QUEBER_StuntRanch"
"257","QUEBER","10/7/15",-4.96,0.5396,"StuntRanch","QUEBER_StuntRanch"
"258","QUEBER","10/7/15",-5.17,0.6224,"StuntRanch","QUEBER_StuntRanch"
"259","SALLEU","10/7/15",-4.76,0.6918,"StuntRanch","SALLEU_StuntRanch"
"260","SALLEU","10/7/15",-5.1,0.666,"StuntRanch","SALLEU_StuntRanch"
"261","SALLEU","10/7/15",-5.24,0.6309,"StuntRanch","SALLEU_StuntRanch"
"262","SALLEU","10/7/15",-5.31,0.7163,"StuntRanch","SALLEU_StuntRanch"
"263","SALLEU","10/7/15",-5.31,0.5938,"StuntRanch","SALLEU_StuntRanch"
"264","SALMEL","10/7/15",-4.21,0.8907,"StuntRanch","SALMEL_StuntRanch"
"265","SALMEL","10/7/15",-4.96,0.6336,"StuntRanch","SALMEL_StuntRanch"
"266","SALMEL","10/7/15",-5.03,0.8137,"StuntRanch","SALMEL_StuntRanch"
"267","SALMEL","10/7/15",-5.24,0.4552,"StuntRanch","SALMEL_StuntRanch"
"268","ADEFAS","10/30/15",-6.48,0.5064,"StuntRanch","ADEFAS_StuntRanch"
"269","ADEFAS","10/30/15",-6.83,0.5535,"StuntRanch","ADEFAS_StuntRanch"
"270","ADEFAS","10/30/15",-7.17,0.5008,"StuntRanch","ADEFAS_StuntRanch"
"271","ARCGLA","10/30/15",-4.34,0.7068,"StuntRanch","ARCGLA_StuntRanch"
"272","ARCGLA","10/30/15",-4.76,0.7245,"StuntRanch","ARCGLA_StuntRanch"
"273","CERBET","10/30/15",-4.69,0.5243,"StuntRanch","CERBET_StuntRanch"
"274","CERBET","10/30/15",-5.45,0.5309,"StuntRanch","CERBET_StuntRanch"
"275","CERBET","10/30/15",-5.79,0.5304,"StuntRanch","CERBET_StuntRanch"
"276","CEASPI","10/30/15",-5.45,0.5614,"StuntRanch","CEASPI_StuntRanch"
"277","CEASPI","10/30/15",-5.45,0.6082,"StuntRanch","CEASPI_StuntRanch"
"278","CEASPI","10/30/15",-5.79,0.621,"StuntRanch","CEASPI_StuntRanch"
"279","ERIFAS","10/30/15",-5.1,0.4496,"StuntRanch","ERIFAS_StuntRanch"
"280","ERIFAS","10/30/15",-6.14,0.5389,"StuntRanch","ERIFAS_StuntRanch"
"281","ERIFAS","10/30/15",-7.1,0.4697,"StuntRanch","ERIFAS_StuntRanch"
"282","HETARB","10/30/15",-4.14,0.7641,"StuntRanch","HETARB_StuntRanch"
"283","HETARB","10/30/15",-4.69,0.7677,"StuntRanch","HETARB_StuntRanch"
"284","HETARB","10/30/15",-4.76,0.7358,"StuntRanch","HETARB_StuntRanch"
"285","MALLAU","10/30/15",-1.31,1.1107,"StuntRanch","MALLAU_StuntRanch"
"286","MALLAU","10/30/15",-1.79,1.0162,"StuntRanch","MALLAU_StuntRanch"
"287","MALLAU","10/30/15",-1.93,1.0463,"StuntRanch","MALLAU_StuntRanch"
"288","QUEAGR","10/30/15",-3.72,0.7627,"StuntRanch","QUEAGR_StuntRanch"
"289","QUEAGR","10/30/15",-3.79,0.6373,"StuntRanch","QUEAGR_StuntRanch"
"290","QUEAGR","10/30/15",-3.93,0.644,"StuntRanch","QUEAGR_StuntRanch"
"291","QUEBER","10/30/15",-5.45,0.5364,"StuntRanch","QUEBER_StuntRanch"
"292","QUEBER","10/30/15",-5.72,0.5881,"StuntRanch","QUEBER_StuntRanch"
"293","QUEBER","10/30/15",-5.86,0.5667,"StuntRanch","QUEBER_StuntRanch"
"294","SALLEU","10/30/15",-5.93,0.555,"StuntRanch","SALLEU_StuntRanch"
"295","SALLEU","10/30/15",-6.21,0.6074,"StuntRanch","SALLEU_StuntRanch"
"296","SALMEL","10/30/15",-6.41,0.5691,"StuntRanch","SALMEL_StuntRanch"
