"","Species","date","wp","time","lfm","study","tissue_age","Sp.Site"
"100","QUEDUR",2021-10-09,-1.88,"pd",0.729916234,"Pepperwood",NA,"QUEDUR_Pepperwood"
"101","QUEDUR",2021-10-09,-3.58,"md",0.729916234,"Pepperwood",NA,"QUEDUR_Pepperwood"
"102","QUEDUR",2021-10-09,-1.95,"pd",0.726486372,"Pepperwood",NA,"QUEDUR_Pepperwood"
"103","QUEDUR",2021-10-09,-3.55,"md",0.726486372,"Pepperwood",NA,"QUEDUR_Pepperwood"
"104","QUEDUR",2021-10-09,-1.17,"pd",0.73762785,"Pepperwood",NA,"QUEDUR_Pepperwood"
"105","QUEDUR",2021-10-09,-2.55,"md",0.73762785,"Pepperwood",NA,"QUEDUR_Pepperwood"
"106","QUEDUR",2021-10-09,-1.37,"pd",0.663273416,"Pepperwood",NA,"QUEDUR_Pepperwood"
"107","QUEDUR",2021-10-09,-3.23,"md",0.663273416,"Pepperwood",NA,"QUEDUR_Pepperwood"
"108","QUEDUR",2021-10-09,-1.13,"pd",0.741136309,"Pepperwood",NA,"QUEDUR_Pepperwood"
"109","QUEDUR",2021-10-09,-2.5,"md",0.741136309,"Pepperwood",NA,"QUEDUR_Pepperwood"
"110","QUEGAR",2020-10-10,-3.13,"pd",0.741709858,"Pepperwood",NA,"QUEGAR_Pepperwood"
"111","QUEGAR",2020-10-10,-4.65,"md",0.741709858,"Pepperwood",NA,"QUEGAR_Pepperwood"
"112","QUEGAR",2021-10-09,-4.28,"pd",0.80826202,"Pepperwood",NA,"QUEGAR_Pepperwood"
"113","QUEGAR",2021-10-09,-5.2,"md",0.80826202,"Pepperwood",NA,"QUEGAR_Pepperwood"
"114","QUEGAR",2021-10-09,-1.45,"pd",0.847712906,"Pepperwood",NA,"QUEGAR_Pepperwood"
"115","QUEGAR",2021-10-09,-3.23,"md",0.847712906,"Pepperwood",NA,"QUEGAR_Pepperwood"
"116","QUEGAR",2020-10-10,-3.75,"pd",0.706968294,"Pepperwood",NA,"QUEGAR_Pepperwood"
"117","QUEGAR",2020-10-10,-5.4,"md",0.706968294,"Pepperwood",NA,"QUEGAR_Pepperwood"
"118","QUEGAR",2021-10-09,-4.23,"pd",0.761625559,"Pepperwood",NA,"QUEGAR_Pepperwood"
"119","QUEGAR",2021-10-09,-4.63,"md",0.761625559,"Pepperwood",NA,"QUEGAR_Pepperwood"
"120","QUEGAR",2021-10-09,-3.87,"pd",0.843898212,"Pepperwood",NA,"QUEGAR_Pepperwood"
"121","QUEGAR",2021-10-09,-4.6,"md",0.843898212,"Pepperwood",NA,"QUEGAR_Pepperwood"
"122","QUEKEL",2021-10-09,-3.58,"pd",0.914238534,"Pepperwood",NA,"QUEKEL_Pepperwood"
"123","QUEKEL",2021-10-09,-4.47,"md",0.914238534,"Pepperwood",NA,"QUEKEL_Pepperwood"
"124","QUEKEL",2021-10-09,-3.48,"pd",0.876059156,"Pepperwood",NA,"QUEKEL_Pepperwood"
"125","QUEKEL",2021-10-09,-4.48,"md",0.876059156,"Pepperwood",NA,"QUEKEL_Pepperwood"
"126","QUEKEL",2021-10-10,-2.9,"pd",0.877132291,"Pepperwood",NA,"QUEKEL_Pepperwood"
"127","QUEKEL",2021-10-10,-3.28,"md",0.877132291,"Pepperwood",NA,"QUEKEL_Pepperwood"
"128","QUEKEL",2021-10-09,-3.68,"pd",0.839845336,"Pepperwood",NA,"QUEKEL_Pepperwood"
"129","QUEKEL",2021-10-09,-4.72,"md",0.839845336,"Pepperwood",NA,"QUEKEL_Pepperwood"
"130","QUEKEL",2021-10-09,-3.63,"pd",0.898006801,"Pepperwood",NA,"QUEKEL_Pepperwood"
"131","QUEKEL",2021-10-09,-4.75,"md",0.898006801,"Pepperwood",NA,"QUEKEL_Pepperwood"
"132","QUEKEL",2021-10-10,-1.86,"pd",0.856270199,"Pepperwood",NA,"QUEKEL_Pepperwood"
"133","QUEKEL",2021-10-10,-2.63,"md",0.856270199,"Pepperwood",NA,"QUEKEL_Pepperwood"
"134","UMBCAL",2021-10-09,-1.08,"pd",1.099858213,"Pepperwood",NA,"UMBCAL_Pepperwood"
"135","UMBCAL",2021-10-09,-2.75,"md",1.099858213,"Pepperwood",NA,"UMBCAL_Pepperwood"
"136","UMBCAL",2021-10-09,-1.7,"pd",1.011867545,"Pepperwood",NA,"UMBCAL_Pepperwood"
"137","UMBCAL",2021-10-09,-2.35,"md",1.011867545,"Pepperwood",NA,"UMBCAL_Pepperwood"
"138","UMBCAL",2021-10-09,-1.75,"pd",0.928036816,"Pepperwood",NA,"UMBCAL_Pepperwood"
"139","UMBCAL",2021-10-09,-2.65,"md",0.928036816,"Pepperwood",NA,"UMBCAL_Pepperwood"
"140","UMBCAL",2021-10-09,-1.75,"pd",1.119425868,"Pepperwood",NA,"UMBCAL_Pepperwood"
"141","UMBCAL",2021-10-09,-2.52,"md",1.119425868,"Pepperwood",NA,"UMBCAL_Pepperwood"
"142","UMBCAL",2021-10-09,-1.58,"pd",1.143309835,"Pepperwood",NA,"UMBCAL_Pepperwood"
"143","UMBCAL",2021-10-09,-2.45,"md",1.143309835,"Pepperwood",NA,"UMBCAL_Pepperwood"
"144","UMBCAL",2021-10-09,-1.93,"pd",1.086683609,"Pepperwood",NA,"UMBCAL_Pepperwood"
"145","UMBCAL",2021-10-09,-2.93,"md",1.086683609,"Pepperwood",NA,"UMBCAL_Pepperwood"
"146","QUEGAR",2022-06-16,-0.33,"pd",0.94005994,"Pepperwood",NA,"QUEGAR_Pepperwood"
