x1,species,date,mwp,lfm,study,tissue_age,sp_site,ilfm,study_nice
93,ADEFAS,2022-06-16,-2.55,0.864150943,Pepperwood,both,ADEFAS_Pepperwood,1.1572052407052689,PwD
94,ADEFAS,2022-06-16,-2.05,0.816777042,Pepperwood,both,ADEFAS_Pepperwood,1.2243243242382906,PwD
95,CEAPAR,2022-06-16,-0.9,1.658682635,Pepperwood,both,CEAPAR_Pepperwood,0.6028880865446572,PwD
96,CEAPAR,2022-06-16,-2.1,1.338078292,Pepperwood,both,CEAPAR_Pepperwood,0.7473404254285593,PwD
97,CEAPAR,2022-06-16,-2.68,1.077777778,Pepperwood,both,CEAPAR_Pepperwood,0.9278350513550856,PwD
98,QUEAGR,2022-06-17,-1.68,1.066365008,Pepperwood,both,QUEAGR_Pepperwood,0.9377652046887119,PwD
99,QUEDOU,2022-06-17,-1.66,1.031869078,Pepperwood,both,QUEDOU_Pepperwood,0.9691151923441979,PwD
100,QUEKEL,2022-06-17,-0.61,0.993553009,Pepperwood,both,QUEKEL_Pepperwood,1.0064888243924588,PwD
101,QUEAGR,2022-06-17,-1.42,1.051075269,Pepperwood,both,QUEAGR_Pepperwood,0.95140664945090625,PwD
102,QUEKEL,2022-06-17,-1.32,1.114448052,Pepperwood,both,QUEKEL_Pepperwood,0.8973051711162218,PwD
103,QUEGAR,2022-06-17,-2.25,1.079819277,Pepperwood,both,QUEGAR_Pepperwood,0.926080892701085,PwD
104,QUEGAR,2022-06-17,-2.43,0.9348659,Pepperwood,both,QUEGAR_Pepperwood,1.0696721315859312,PwD
105,QUEKEL,2022-06-16,-1.83,1.126344086,Pepperwood,both,QUEKEL_Pepperwood,0.8878281623081208,PwD
106,QUEKEL,2022-06-17,-1.83,1.041310541,Pepperwood,both,QUEKEL_Pepperwood,0.9603283176598516,PwD
107,QUEDOU,2022-06-17,-1.23,1.252118644,Pepperwood,both,QUEDOU_Pepperwood,0.7986463621413818,PwD
108,QUEKEL,2022-06-17,-1.59,1.008973081,Pepperwood,both,QUEKEL_Pepperwood,0.9911067191296059,PwD
109,UMBCAL,2022-06-17,-1.45,1.4375,Pepperwood,both,UMBCAL_Pepperwood,0.6956521739130435,PwD
110,QUEAGR,2022-06-16,-0.96,0.956140351,Pepperwood,both,QUEAGR_Pepperwood,1.0458715594986954,PwD
111,QUEAGR,2022-06-16,-0.28,1.454368932,Pepperwood,both,QUEAGR_Pepperwood,0.6875834446111504,PwD
112,UMBCAL,2022-06-16,-0.68,1.354666667,Pepperwood,both,UMBCAL_Pepperwood,0.7381889761963117,PwD
113,UMBCAL,2022-06-16,-1.33,1.234269119,Pepperwood,both,UMBCAL_Pepperwood,0.8101960784777603,PwD
114,UMBCAL,2022-06-16,-0.96,1.648444863,Pepperwood,both,UMBCAL_Pepperwood,0.6066323614731662,PwD
115,UMBCAL,2022-06-16,-0.43,2.295739348,Pepperwood,both,UMBCAL_Pepperwood,0.4355895197210341,PwD
116,PSEMEN,2022-06-16,-1.01,1.427350427,Pepperwood,both,PSEMEN_Pepperwood,0.700598802567213,PwD
117,QUEDOU,2022-06-16,-2.65,1.045822102,Pepperwood,both,QUEDOU_Pepperwood,0.9561855673996837,PwD
118,QUEDOU,2022-06-16,-1.63,1.095679012,Pepperwood,both,QUEDOU_Pepperwood,0.9126760566259711,PwD
119,QUEDOU,2022-06-16,-0.97,1.211081794,Pepperwood,both,QUEDOU_Pepperwood,0.8257080611352993,PwD
120,QUEAGR,2022-06-16,-1.71,1.037634409,Pepperwood,both,QUEAGR_Pepperwood,0.9637305695786732,PwD
121,QUEGAR,2022-06-16,-1.23,0.857418112,Pepperwood,both,QUEGAR_Pepperwood,1.166292134495988,PwD
122,QUEDOU,2022-06-16,-1.87,1.009160305,Pepperwood,both,QUEDOU_Pepperwood,0.9909228445127952,PwD
123,PSEMEN,2022-06-16,-1.53,1.338790932,Pepperwood,both,PSEMEN_Pepperwood,0.7469426152342657,PwD
124,QUEKEL,2022-06-16,-2.7,1.255912162,Pepperwood,both,QUEKEL_Pepperwood,0.7962340283475972,PwD
125,ARBMEN,2022-06-16,-1.72,1.787968442,Pepperwood,both,ARBMEN_Pepperwood,0.5592939878074201,PwD
126,ARBMEN,2022-06-16,-1.7,1.858657244,Pepperwood,both,ARBMEN_Pepperwood,0.5380228136350244,PwD
127,ARBMEN,2022-06-16,-1.83,1.617021277,Pepperwood,both,ARBMEN_Pepperwood,0.6184210524769737,PwD
128,ARBMEN,2022-06-16,-1.8,2.050669216,Pepperwood,both,ARBMEN_Pepperwood,0.4876456876602374,PwD
129,PSEMEN,2022-06-16,-2.05,1.123275069,Pepperwood,both,PSEMEN_Pepperwood,0.890253890251703,PwD
