"","Site","Species","Sample.number","Alternate.number","DBH","Height","Date","Predawn.mean","Midday.mean","Leaf.wet","Leaf.dry","Leaf.change","Stem.wet","Stem.dry","Stem.change","Bulk.wet","Bulk.dry","Bulk.change","Leaf.LFM","Stem.LFM","Bulk.LFM","WPdiff"
"13","DCP","ARBMEN",10985,NA,17,NA,20211009,-1.18,-2.63,33.533,14.6971,18.8359,8.725,3.9637,4.7613,42.258,18.6608,23.5972,1.28160657544686,1.20122612710346,1.26453313898654,-1.45
"14","WTH","ARBMEN",10986,NA,30.1,NA,20211009,-4.98,-5.55,15.427,7.7491,7.6779,3.373,1.66185,1.71115,18.8,9.41095,9.38905,0.990811836213238,1.02966573397118,0.997672923562446,-0.569999999999999
"15","RPH","BACPIL",12001,NA,NA,200,20201010,-1.8,-2.66,NA,NA,NA,NA,NA,NA,20.8525,9.4953,11.3572,NA,NA,1.19608648489253,-0.86
"16","BG","BACPIL",12002,NA,NA,120,20201010,-1.38,-2.3,NA,NA,NA,NA,NA,NA,19.95527,8.89977,11.0555,NA,NA,1.24222311363103,-0.92
"17","GH","BACPIL",12003,NA,NA,NA,20201010,-1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","DCP","BACPIL",12004,NA,NA,NA,20211009,NA,NA,NA,NA,NA,NA,NA,NA,10.5365,4.6253,5.9112,NA,NA,1.27801439906601,NA
"19","GH","CEACUN",10723,NA,NA,NA,20211010,-6.85,-7,16.549,10.25549,6.29351,9.755,6.5616,3.1934,26.304,16.81709,9.48691,0.613672286745928,0.486680078029749,0.564123162806407,-0.15
"20","GH","CEACUN",10725,NA,NA,NA,20211010,-3.63,-6.1,NA,NA,NA,NA,NA,NA,36.183,21.9236,14.2594,NA,NA,0.650413253297816,-2.47
"21","GH","CEACUN",10726,NA,NA,NA,20211010,-3.58,NA,11.066,5.9401,5.1259,8.722,5.7161,3.0059,19.788,11.6562,8.1318,0.862931600478106,0.525865537691783,0.697637308899985,NA
"22","GH","CEACUN",10727,NA,NA,NA,20211010,-3.23,NA,NA,NA,NA,NA,NA,NA,19.075,11.6615,7.4135,NA,NA,0.635724392230845,NA
"23","GH","CEACUN",10728,NA,NA,NA,20211010,-4.23,NA,NA,NA,NA,NA,NA,NA,14.747,8.6831,6.0639,NA,NA,0.698356577719939,NA
"24","GH","CEAPAR",10732,NA,NA,NA,20211010,-3.78,-4.3,9.205,5.1688,4.0362,9.134,5.7446,3.3894,18.339,10.9134,7.4256,0.780877573131094,0.590014970581067,0.680411237561163,-0.52
"25","GH","CEACUN",10733,NA,NA,NA,20211010,-5.83,-6.1,14.62,8.6524,5.9676,9.374,6.15388,3.22012,23.994,14.80628,9.18772,0.689704590633813,0.523266622033579,0.620528586518693,-0.27
"26","GH","CEAPAR",10724,NA,NA,NA,20211010,-2.95,-4.23,NA,NA,NA,NA,NA,NA,19.758,11.4443,8.3137,NA,NA,0.726448974598709,-1.28
"27","GH","CEAPAR",10731,NA,NA,NA,20211010,-2.66,-3.28,NA,NA,NA,NA,NA,NA,20.129,10.92113,9.20787,NA,NA,0.843124292083328,-0.62
"28","GH","CEAPAR",10734,NA,NA,NA,20211010,-2.88,-3.9,11.701,6.6767,5.0243,9.849,6.1598,3.6892,21.55,12.8365,8.7135,0.752512468734554,0.598915549206143,0.678806528259261,-1.02
"29","GH","CEAPAR",10735,NA,NA,NA,20211010,-3.45,-3.57,NA,NA,NA,NA,NA,NA,16.788,9.18505,7.60295,NA,NA,0.827752706844274,-0.12
