,Site,Species,Sample.number,Sampling,Alternate.number,DBH,Height,Date,Predawn.mean,Midday.mean,Bulk.wet,Bulk.dry,Bulk.change,Leaf.wet,Leaf.dry,Leaf.change,Stem.wet,Stem.dry,Stem.change,Leaf.LFM,Stem.LFM,Bulk.LFM,WPdiff
57,ST,QUEDUR,10988,21-Oct,NA,NA,NA,20211009,-1.95,-3.55,13.0935,7.5839,5.5096,10.1492,5.8195,4.3297,2.9443,1.7644,1.1799,0.743998625,0.668725912,0.726486372,-1.6
58,ST,QUEDUR,10990,21-Oct,NA,NA,NA,20211009,-1.17,-2.55,10.3123,5.9347,4.3776,7.8845,4.4747,3.4098,2.4278,1.46,0.9678,0.762017565,0.662876712,0.73762785,-1.38
59,ST,QUEDUR,10991,21-Oct,NA,NA,NA,20211009,-1.37,-3.23,41.6482,25.0399,16.6083,25.9515,14.9731,10.9784,15.6967,10.0668,5.6299,0.73320822,0.559254182,0.663273416,-1.86
60,ST,QUEDUR,10995,21-Oct,NA,NA,NA,20211009,-1.13,-2.5,23.0025,13.2112,9.7913,17.0105,9.6547,7.3558,5.992,3.5565,2.4355,0.761887992,0.684802474,0.741136309,-1.37
61,RPH,QUEGAR,10704,21-Oct,NA,57.6,NA,20201010,-3.13,-4.65,27.6904,15.8984,11.792,22.8074,12.8833,9.9241,4.883,3.0151,1.8679,0.770307297,0.619515107,0.741709858,-1.52
62,WTH,QUEGAR,10864,21-Oct,NA,33.8,NA,20211009,-4.28,-5.2,25.2088,13.9409,11.2679,20.4938,11.1608,9.333,4.715,2.7801,1.9349,0.836230378,0.695982159,0.80826202,-0.92
63,WTH,QUEGAR,10865,21-Oct,NA,94.3,NA,20211009,-1.45,-3.23,26.5108,14.3479,12.1629,19.0848,9.8739,9.2109,7.426,4.474,2.952,0.93285328,0.659812249,0.847712906,-1.78
64,RPH,QUEGAR,10970,21-Oct,NA,37.5,NA,20201010,-3.75,-5.4,29.7825,17.4476,12.3349,24.0485,13.7899,10.2586,5.734,3.6577,2.0763,0.743921276,0.567651803,0.706968294,-1.65
65,BOH,QUEGAR,10980,21-Oct,NA,27,NA,20211009,-4.23,-4.63,25.298,14.3606,10.9374,21.004,11.6446,9.3594,4.294,2.716,1.578,0.80375453,0.581001473,0.761625559,-0.4
66,BOH,QUEGAR,10981,21-Oct,NA,66.5,NA,20211009,-3.87,-4.6,35.9621,19.5033,16.4588,31.4971,16.6291,14.868,4.465,2.8742,1.5908,0.894095291,0.55347575,0.843898212,-0.73
67,WTH,QUEKEL,10803,21-Oct,NA,83.4,NA,20211009,-3.58,-4.47,20.4487,10.68242,9.76628,16.953,8.53482,8.41818,3.4957,2.1476,1.3481,0.986333631,0.627723971,0.914238534,-0.89
68,WTH,QUEKEL,10806,21-Oct,NA,35.9,NA,20211009,-3.48,-4.48,15.5651,8.2967,7.2684,13.0331,6.8162,6.2169,2.532,1.4805,1.0515,0.91207711,0.710233029,0.876059156,-1
69,BOH,QUEKEL,10894,21-Oct,NA,68.7,NA,20211010,-2.9,-3.28,30.6577,16.3322,14.3255,27.0727,14.2597,12.813,3.585,2.0725,1.5125,0.898546253,0.729794934,0.877132291,-0.38
70,WTH,QUEKEL,10896,21-Oct,NA,72.5,NA,20211009,-3.68,-4.72,44.3951,24.1298,20.2653,37.8991,20.1424,17.7567,6.496,3.9874,2.5086,0.881558305,0.629131765,0.839845336,-1.04
71,WTH,QUEKEL,10899,21-Oct,NA,80.2,NA,20211009,-3.63,-4.75,31.164,16.41933,14.74467,25.122,12.80553,12.31647,6.042,3.6138,2.4282,0.961808687,0.67192429,0.898006801,-1.12
72,BOH,QUEKEL,10973,21-Oct,NA,68.5,NA,20211010,-1.86,-2.63,30.327,16.3376,13.9894,25.8,13.5753,12.2247,4.527,2.7623,1.7647,0.900510486,0.638851682,0.856270199,-0.77
73,WTH,UMBCAL,10956,21-Oct,NA,8.6,NA,20211009,-1.08,-2.75,19.6973,9.3803,10.317,17.4041,8.2475,9.1566,2.2932,1.1328,1.1604,1.110227342,1.024364407,1.099858213,-1.67
74,OSM,UMBCAL,10961,21-Oct,5918,46.5,NA,20211009,-1.7,-2.35,26.514,13.1788,13.3352,23.289,11.6151,11.6739,3.225,1.5637,1.6613,1.005062376,1.062416064,1.011867545,-0.65
75,OSM,UMBCAL,10962,21-Oct,5919,35.9,NA,20211009,-1.75,-2.65,19.0625,9.887,9.1755,17.4195,8.9915,8.428,1.643,0.8955,0.7475,0.9373297,0.834729202,0.928036816,-0.9
76,OSM,UMBCAL,10963,21-Oct,5907,53.4,NA,20211009,-1.75,-2.52,24.054,11.3493,12.7047,20.31,9.5261,10.7839,3.744,1.8232,1.9208,1.132037245,1.053532251,1.119425868,-0.77
77,OSM,UMBCAL,10964,21-Oct,5927,52.2,NA,20211009,-1.58,-2.45,24.6875,11.5184,13.1691,20.7355,9.5425,11.193,3.952,1.9759,1.9761,1.17296306,1.00010122,1.143309835,-0.87
78,DCP,UMBCAL,10984,21-Oct,NA,84.3,NA,20211009,-1.93,-2.93,16.635,7.97198,8.66302,14.203,6.81086,7.39214,2.432,1.16112,1.27088,1.08534605,1.09452942,1.086683609,-1
79,RPH,QUEGAR,10704,22-Jun,NA,57.6,NA,20220616,-0.33,-1.56,19.42,10.01,9.41,NA,NA,NA,NA,NA,NA,NA,NA,0.94005994,-1.23
80,ST,QUEDUR,10713,22-Jun,NA,NA,NA,20220617,-0.28,-0.23,8.85,4.53,4.32,NA,NA,NA,NA,NA,NA,NA,NA,0.953642384,0.05
81,ST,HETARB,10714,22-Jun,NA,NA,NA,20220617,-0.6,-1.59,18.46,7.75,10.71,NA,NA,NA,NA,NA,NA,NA,NA,1.381935484,-0.99
82,ST,ADEFAS,10715,22-Jun,NA,NA,NA,20220617,-0.45,-0.96,3.64,1.63,2.01,NA,NA,NA,NA,NA,NA,NA,NA,1.233128834,-0.51
83,ST,HETARB,10716,22-Jun,NA,NA,NA,20220617,-0.53,-0.83,15.1,6.18,8.92,NA,NA,NA,NA,NA,NA,NA,NA,1.443365696,-0.3
84,ST,ADEFAS,10717,22-Jun,NA,NA,NA,20220617,-0.45,-0.64,8.7,4.43,4.27,NA,NA,NA,NA,NA,NA,NA,NA,0.963882619,-0.19
85,ST,HETARB,10718,22-Jun,NA,NA,NA,20220617,-0.4,-1.25,21.22,8.23,12.99,NA,NA,NA,NA,NA,NA,NA,NA,1.57837181,-0.85
86,ST,HETARB,10719,22-Jun,NA,NA,NA,20220617,-0.5,-1.4,20.17,6.95,13.22,NA,NA,NA,NA,NA,NA,NA,NA,1.902158273,-0.9
87,ST,ADEFAS,10720,22-Jun,NA,NA,NA,20220617,-0.7,-1.13,5.54,2.66,2.88,NA,NA,NA,NA,NA,NA,NA,NA,1.082706767,-0.43
88,ST,ADEFAS,10721,22-Jun,NA,NA,NA,20220617,-0.63,-0.9,5.57,2.6,2.97,NA,NA,NA,NA,NA,NA,NA,NA,1.142307692,-0.27
89,RPH,QUEAGR,10722,22-Jun,NA,42.4,NA,20220616,-0.25,-1.48,8.17,3.79,4.38,NA,NA,NA,NA,NA,NA,NA,NA,1.155672823,-1.23
90,GH,CEACUN,10725,22-Jun,NA,NA,NA,20220616,NA,-1.58,8.2,3.53,4.67,NA,NA,NA,NA,NA,NA,NA,NA,1.322946176,NA
91,GH,CEACUN,10727,22-Jun,NA,NA,NA,20220616,NA,-2.45,8.05,3.72,4.33,NA,NA,NA,NA,NA,NA,NA,NA,1.163978495,NA
92,GH,CEACUN,10728,22-Jun,NA,NA,NA,20220616,NA,-2.73,7.1,3.19,3.91,NA,NA,NA,NA,NA,NA,NA,NA,1.225705329,NA
93,GH,ADEFAS,10729,22-Jun,NA,NA,NA,20220616,NA,-2.55,4.94,2.65,2.29,NA,NA,NA,NA,NA,NA,NA,NA,0.864150943,NA
94,GH,ADEFAS,10730,22-Jun,NA,NA,NA,20220616,NA,-2.05,8.23,4.53,3.7,NA,NA,NA,NA,NA,NA,NA,NA,0.816777042,NA
95,GH,CEAPAR,10731,22-Jun,NA,NA,NA,20220616,NA,-0.9,13.32,5.01,8.31,NA,NA,NA,NA,NA,NA,NA,NA,1.658682635,NA
96,GH,CEAPAR,10735,22-Jun,NA,NA,NA,20220616,NA,-2.1,6.57,2.81,3.76,NA,NA,NA,NA,NA,NA,NA,NA,1.338078292,NA
97,GH,CEAPAR,10736,22-Jun,NA,NA,NA,20220616,NA,-2.68,5.61,2.7,2.91,NA,NA,NA,NA,NA,NA,NA,NA,1.077777778,NA
98,WTH,QUEAGR,10800,22-Jun,NA,89.8,NA,20220617,-0.3,-1.68,13.7,6.63,7.07,NA,NA,NA,NA,NA,NA,NA,NA,1.066365008,-1.38
99,WTH,QUEDOU,10801,22-Jun,NA,50.9,NA,20220617,-0.22,-1.66,23.59,11.61,11.98,NA,NA,NA,NA,NA,NA,NA,NA,1.031869078,-1.44
100,WTH,QUEKEL,10803,22-Jun,NA,83.4,NA,20220617,-0.43,-0.61,27.83,13.96,13.87,NA,NA,NA,NA,NA,NA,NA,NA,0.993553009,-0.18
101,WTH,QUEAGR,10805,22-Jun,NA,73.4,NA,20220617,-0.3,-1.42,7.63,3.72,3.91,NA,NA,NA,NA,NA,NA,NA,NA,1.051075269,-1.12
102,WTH,QUEKEL,10806,22-Jun,NA,35.9,NA,20220617,-0.5,-1.32,26.05,12.32,13.73,NA,NA,NA,NA,NA,NA,NA,NA,1.114448052,-0.82
103,WTH,QUEGAR,10864,22-Jun,NA,33.8,NA,20220617,-0.37,-2.25,27.62,13.28,14.34,NA,NA,NA,NA,NA,NA,NA,NA,1.079819277,-1.88
104,WTH,QUEGAR,10865,22-Jun,NA,94.3,NA,20220617,-0.24,-2.43,20.2,10.44,9.76,NA,NA,NA,NA,NA,NA,NA,NA,0.9348659,-2.19
105,BOH,QUEKEL,10894,22-Jun,NA,68.7,NA,20220616,-0.3,-1.83,15.82,7.44,8.38,NA,NA,NA,NA,NA,NA,NA,NA,1.126344086,-1.53
106,WTH,QUEKEL,10896,22-Jun,NA,72.5,NA,20220617,-0.45,-1.83,14.33,7.02,7.31,NA,NA,NA,NA,NA,NA,NA,NA,1.041310541,-1.38
107,WTH,QUEDOU,10898,22-Jun,NA,58.6,NA,20220617,-0.17,-1.23,10.63,4.72,5.91,NA,NA,NA,NA,NA,NA,NA,NA,1.252118644,-1.06
108,WTH,QUEKEL,10899,22-Jun,NA,80.2,NA,20220617,-0.39,-1.59,20.15,10.03,10.12,NA,NA,NA,NA,NA,NA,NA,NA,1.008973081,-1.2
109,WTH,UMBCAL,10956,22-Jun,NA,8.6,NA,20220617,-0.27,-1.45,14.43,5.92,8.51,NA,NA,NA,NA,NA,NA,NA,NA,1.4375,-1.18
110,OSM,QUEAGR,10959,22-Jun,NA,66.8,NA,20220616,-0.31,-0.96,13.38,6.84,6.54,NA,NA,NA,NA,NA,NA,NA,NA,0.956140351,-0.65
111,OSM,QUEAGR,10960,22-Jun,NA,42.9,NA,20220616,-0.25,-0.28,12.64,5.15,7.49,NA,NA,NA,NA,NA,NA,NA,NA,1.454368932,-0.03
112,OSM,UMBCAL,10961,22-Jun,NA,46.5,NA,20220616,-0.42,-0.68,17.66,7.5,10.16,NA,NA,NA,NA,NA,NA,NA,NA,1.354666667,-0.26
113,OSM,UMBCAL,10962,22-Jun,NA,35.9,NA,20220616,-0.53,-1.33,23.08,10.33,12.75,NA,NA,NA,NA,NA,NA,NA,NA,1.234269119,-0.8
114,OSM,UMBCAL,10963,22-Jun,NA,53.4,NA,20220616,-0.39,-0.96,28.1,10.61,17.49,NA,NA,NA,NA,NA,NA,NA,NA,1.648444863,-0.57
115,OSM,UMBCAL,10964,22-Jun,NA,52.2,NA,20220616,-0.37,-0.43,13.15,3.99,9.16,NA,NA,NA,NA,NA,NA,NA,NA,2.295739348,-0.06
116,OSM,PSEMEN,10965,22-Jun,NA,72.5,NA,20220616,-0.31,-1.01,11.36,4.68,6.68,NA,NA,NA,NA,NA,NA,NA,NA,1.427350427,-0.7
117,RPH,QUEDOU,10966,22-Jun,NA,62.2,NA,20220616,-0.26,-2.65,7.59,3.71,3.88,NA,NA,NA,NA,NA,NA,NA,NA,1.045822102,-2.39
118,RPH,QUEDOU,10967,22-Jun,NA,84.3,NA,20220616,-0.23,-1.63,13.58,6.48,7.1,NA,NA,NA,NA,NA,NA,NA,NA,1.095679012,-1.4
119,RPH,QUEDOU,10968,22-Jun,NA,72.2,NA,20220616,NA,-0.97,8.38,3.79,4.59,NA,NA,NA,NA,NA,NA,NA,NA,1.211081794,NA
120,RPH,QUEAGR,10969,22-Jun,NA,79.9,NA,20220616,-0.38,-1.71,7.58,3.72,3.86,NA,NA,NA,NA,NA,NA,NA,NA,1.037634409,-1.33
121,RPH,QUEGAR,10970,22-Jun,NA,37.5,NA,20220616,-0.35,-1.23,9.64,5.19,4.45,NA,NA,NA,NA,NA,NA,NA,NA,0.857418112,-0.88
122,RPH,QUEDOU,10971,22-Jun,NA,46.5,NA,20220616,-0.23,-1.87,13.16,6.55,6.61,NA,NA,NA,NA,NA,NA,NA,NA,1.009160305,-1.64
123,BOH,PSEMEN,10972,22-Jun,NA,31.3,NA,20220616,-0.48,-1.53,37.14,15.88,21.26,NA,NA,NA,NA,NA,NA,NA,NA,1.338790932,-1.05
124,BOH,QUEKEL,10973,22-Jun,NA,68.5,NA,20220616,-0.32,-2.7,26.71,11.84,14.87,NA,NA,NA,NA,NA,NA,NA,NA,1.255912162,-2.38
125,BOH,ARBMEN,10974,22-Jun,NA,38,NA,20220616,-0.19,-1.72,28.27,10.14,18.13,NA,NA,NA,NA,NA,NA,NA,NA,1.787968442,-1.53
126,BOH,ARBMEN,10975,22-Jun,NA,58.1,NA,20220616,-0.12,-1.7,40.45,14.15,26.3,NA,NA,NA,NA,NA,NA,NA,NA,1.858657244,-1.58
127,BOH,ARBMEN,10976,22-Jun,NA,53.9,NA,20220616,-0.2,-1.83,24.6,9.4,15.2,NA,NA,NA,NA,NA,NA,NA,NA,1.617021277,-1.63
128,BOH,ARBMEN,10977,22-Jun,NA,63,NA,20220616,-0.33,-1.8,31.91,10.46,21.45,NA,NA,NA,NA,NA,NA,NA,NA,2.050669216,-1.47
129,BOH,PSEMEN,10978,22-Jun,NA,63.2,NA,20220616,-0.6,-2.05,46.16,21.74,24.42,NA,NA,NA,NA,NA,NA,NA,NA,1.123275069,-1.45
130,BOH,PSEMEN,10979,22-Jun,NA,23.7,NA,20220616,-0.39,-1.83,38.85,17.9,20.95,NA,NA,NA,NA,NA,NA,NA,NA,1.170391061,-1.44
131,BOH,QUEGAR,10980,22-Jun,NA,27,NA,20220616,-0.3,-2.63,19.91,9.63,10.28,NA,NA,NA,NA,NA,NA,NA,NA,1.067497404,-2.33
132,BOH,QUEGAR,10981,22-Jun,NA,66.5,NA,20220616,-0.28,-2.9,18.67,8.8,9.87,NA,NA,NA,NA,NA,NA,NA,NA,1.121590909,-2.62
133,DCP,PSEMEN,10982,22-Jun,NA,45.2,NA,20220616,-0.36,-1.93,16.28,7.25,9.03,NA,NA,NA,NA,NA,NA,NA,NA,1.245517241,-1.57
134,DCP,PSEMEN,10983,22-Jun,NA,35.3,NA,20220616,-0.33,-1.83,15.32,7.11,8.21,NA,NA,NA,NA,NA,NA,NA,NA,1.154711674,-1.5
135,DCP,UMBCAL,10984,22-Jun,NA,84.3,NA,20220616,-0.27,-1,11.89,5.24,6.65,NA,NA,NA,NA,NA,NA,NA,NA,1.269083969,-0.73
